,Unnamed: 0,WID,Label,Eth Balance,Txn Count,Exchange,ERC 20 Txn,ERC 20 Txn In,ERC 20 Txn Out,ERC721 Txn Out,ERC721 Txn In,ERC721 Txn,Ratio Transfers
137,137,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Coinbase 5,5744.56926616,6464700.0,Y,10000.0,4236.0,5764.0,0.0,22.0,22.0,0.73
304,304,0xb709d82f0706476457ae6bad7c3534fbf424382c,Panda.Exchange 2: Hot Wallet,0.0,325.0,Y,91.0,60.0,31.0,0.0,0.0,0.0,1.94
24,24,0xcce8d59affdd93be338fc77fa0a298c2cb65da59,Bilaxy 2,0.09390058,228543.0,Y,10002.0,5928.0,4074.0,0.0,0.0,0.0,1.46
174,174,0x915d7915f2b469bb654a7d903a5d4417cb8ea7df,FCoin,0.0,480742.0,Y,10000.0,5617.0,4383.0,0.0,1.0,1.0,1.28
44,44,0xd5fd1bc99d5801278345e9d29be2225d06c26e93,Binance 27,0.03378002,160.0,Y,429.0,331.0,98.0,0.0,0.0,0.0,3.38
174,174,0x915d7915f2b469bb654a7d903a5d4417cb8ea7df,FCoin,0.0,480742.0,Y,10000.0,5617.0,4383.0,0.0,1.0,1.0,1.28
303,303,0xcacc694840ecebadd9b4c419e5b7f1d73fedf999,Panda.Exchange 1: Hot Wallet,4.92620113,896.0,Y,165.0,102.0,63.0,0.0,0.0,0.0,1.62
209,209,0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,Huobi 11,384.52697935,206633.0,Y,146.0,86.0,13.0,0.0,0.0,0.0,6.62
207,207,0xab5c66752a9e8167967685f1450532fb96d5d24f,Huobi 1,306.88864338,1932949.0,Y,10000.0,3722.0,6278.0,0.0,0.0,0.0,0.59
363,363,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,Yobit.net,12004.98460946,2471770.0,Y,735.0,732.0,3.0,0.0,0.0,0.0,244.0
60,60,0x4b729cf402cfcffd057e254924b32241aedc1795,Bit-Z,0.50091,206950.0,Y,70.0,69.0,1.0,0.0,0.0,0.0,69.0
4,4,0x2ddd202174a72514ed522e77972b461b03155525,Alcumex Exchange,0.0,709.0,Y,626.0,35.0,591.0,0.0,0.0,0.0,0.06
323,323,0xc0e30823e5e628df8bc9bf2636a347e1512f0ecb,Poloniex: MANA,5.12541973,1893.0,Y,1386.0,850.0,536.0,0.0,0.0,0.0,1.59
68,68,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex 1,9.9617274,391318.0,Y,10000.0,6330.0,3670.0,0.0,0.0,0.0,1.72
357,357,0xba826fec90cefdf6706858e5fbafcb27a290fbe0,Upbit 2,0.29321981,985744.0,Y,10000.0,5604.0,4396.0,0.0,0.0,0.0,1.27
99,99,0xdb044b8298e04d442fdbe5ce01b8cc8f77130e33,Bitkub Hot Wallet 1,1474.48677475,43703.0,Y,3.0,3.0,0.0,0.0,0.0,0.0,1000.0
282,282,0xedbb72e6b3cf66a792bff7faac5ea769fe810517,Liquid 1,5.78715096,70088.0,Y,10000.0,4663.0,5337.0,0.0,0.0,0.0,0.87
345,345,0xe855283086fbee485aecf2084345a91424c23954,Sparrow Exchange 2,4.20746723,1045.0,Y,998.0,79.0,919.0,0.0,0.0,0.0,0.09
337,337,0x9e6316f44baeeee5d41a1070516cc5fa47baf227,ShapeShift 2,0.0,103242.0,Y,46.0,36.0,10.0,0.0,0.0,0.0,3.6
203,203,0x008932be50098089c6a075d35f4b5182ee549f8a,Hoo.com 6,0.0911108,25200.0,Y,10000.0,5372.0,4628.0,0.0,1.0,1.0,1.16
22,22,0x6eff3372fa352b239bb24ff91b423a572347000d,BIKI.com,17.71586368,253207.0,Y,10000.0,5792.0,4208.0,0.0,0.0,0.0,1.38
304,304,0xb709d82f0706476457ae6bad7c3534fbf424382c,Panda.Exchange 2: Hot Wallet,0.0,325.0,Y,91.0,60.0,31.0,0.0,0.0,0.0,1.94
298,298,0x59fae149a8f8ec74d5bc038f8b76d25b136b9573,OKEx 5,0.0276306,28.0,Y,134.0,132.0,2.0,0.0,0.0,0.0,66.0
237,237,0xf66852bc122fd40bfecc63cd48217e88bda12109,Huobi 37,43.94372691,354142.0,Y,219.0,217.0,2.0,0.0,0.0,0.0,108.5
287,287,0xaf1931c20ee0c11bea17a41bfbbad299b2763bc0,Luno 1,34840.9185457,2917.0,Y,261.0,261.0,0.0,0.0,0.0,0.0,1000.0
149,149,0x167a9333bf582556f35bd4d16a7e80e191aa6476,Coinone,8120.10241735,942929.0,Y,10000.0,7993.0,2007.0,0.0,0.0,0.0,3.98
140,140,0x33683b94334eebc9bd3ea85ddbda4a86fb461405,Coinbene: Cold Wallet,0.99772903,31734.0,Y,10000.0,9902.0,98.0,0.0,0.0,0.0,101.04
48,48,0x00799bbc833d5b168f0410312d2a8fd9e0e3079c,Binance 31,0.20173175,8317.0,Y,3615.0,2043.0,1572.0,0.0,0.0,0.0,1.3
361,361,0x0e5069514a3dd613350bab01b58fd850058e5ca4,Wintermute,0.01262989,29.0,Y,181.0,178.0,3.0,0.0,4.0,4.0,59.33
216,216,0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,Huobi 18,0.13569696,46.0,Y,256.0,256.0,0.0,0.0,0.0,0.0,1000.0
109,109,0x4c766def136f59f6494f0969b1355882080cf8e0,Bitstamp 5,29017.48057762,26.0,Y,140.0,140.0,0.0,0.0,1.0,1.0,1000.0
63,63,0x5d375281582791a38e0348915fa9cbc6139e9c2a,BitBlinx,7.62403889,16542.0,Y,6823.0,1478.0,5345.0,0.0,0.0,0.0,0.28
233,233,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,Huobi 33,301.72878616,439372.0,Y,213.0,213.0,0.0,0.0,1.0,1.0,1000.0
359,359,0xb436c96c6de1f50a160ed307317c275424dbe4f2,Vinex,0.00057303,3651.0,Y,1902.0,445.0,1457.0,0.0,0.0,0.0,0.31
79,79,0x3f7e77b627676763997344a1ad71acb765fc8ac5,Bitfinex 8,75026.12978599,8.0,Y,35.0,35.0,0.0,0.0,0.0,0.0,1000.0
263,263,0xe8a0e282e6a3e8023465accd47fae39dd5db010b,Kryptono 1,0.02947003,18981.0,Y,10000.0,2235.0,7765.0,0.0,0.0,0.0,0.29
243,243,0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,Huobi 7,381.00392477,1745203.0,Y,10000.0,3811.0,6189.0,0.0,0.0,0.0,0.62
19,19,0x0bb5de248dbbd31ee6c402c3c4a70293024acf74,Bidesk 2,0.00624614,37580.0,Y,10000.0,2199.0,7801.0,0.0,0.0,0.0,0.28
166,166,0xf1c525a488a848b58b95d79da48c21ce434290f7,Eidoo,1.11390308,9812.0,Y,3.0,3.0,0.0,0.0,0.0,0.0,1000.0
113,113,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex,6090.81919033,11133470.0,Y,10002.0,5065.0,4937.0,0.0,18.0,18.0,1.03
179,179,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,FTX Exchange,221468.4667219,3575544.0,Y,10000.0,4404.0,5596.0,0.0,0.0,0.0,0.79
267,267,0x689c56aef474df92d44a1b70850f808488f9769c,KuCoin 2,0.23346893,1005517.0,Y,10000.0,9990.0,10.0,0.0,2.0,2.0,999.0
192,192,0xd69b0089d9ca950640f5dc9931a41a5965f00303,Gemini 7,172481.15973159,97.0,Y,194.0,194.0,0.0,0.0,0.0,0.0,1000.0
184,184,0xd793281182a0e3e023116004778f45c29fc14f19,Gate.io: Contract,11828.78872651,213.0,Y,61.0,58.0,3.0,0.0,2.0,2.0,19.33
196,196,0x59a5208b32e627891c389ebafc644145224006e8,HitBTC 2,92.9329473,1829098.0,Y,10000.0,5663.0,4337.0,0.0,1.0,1.0,1.31
80,80,0x59448fe20378357f206880c58068f095ae63d5a5,Bitfinex 9,215368.75591044,28.0,Y,18.0,18.0,0.0,0.0,0.0,0.0,1000.0
155,155,0x6f31d347457962c9811ff953742870ef5a755de3,CoinW 4,0.10361269,24733.0,Y,10002.0,7591.0,2411.0,0.0,1.0,1.0,3.15
105,105,0x00bdb5699745f5b860228c8f939abf1b9ae374ed,Bitstamp 1,281.24433589,1387683.0,Y,247.0,247.0,0.0,0.0,1.0,1.0,1000.0
122,122,0xdf8752caa319668006580ddf48db25a23728b926,Bololex.com,0.00084255,494.0,Y,161.0,77.0,84.0,0.0,0.0,0.0,0.92
154,154,0x429bf8ec3330e02401d72beade86000d9a2e19eb,CoinW 3,21.58316825,55854.0,Y,52.0,49.0,3.0,0.0,0.0,0.0,16.33
186,186,0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini,43088.88725583,2812963.0,Y,10001.0,5328.0,4673.0,0.0,0.0,0.0,1.14
298,298,0x59fae149a8f8ec74d5bc038f8b76d25b136b9573,OKEx 5,0.0276306,28.0,Y,134.0,132.0,2.0,0.0,0.0,0.0,66.0
213,213,0x926fc576b7facf6ae2d08ee2d4734c134a743988,Huobi 15,245.97165317,250861.0,Y,206.0,204.0,2.0,0.0,0.0,0.0,102.0
